(86.60254037844388, -49.99999999999999)
(80.82903768654762, -46.66666666666666)
(75.05553499465137, -43.33333333333333)
(69.2820323027551, -39.99999999999999)
(63.508529610858844, -36.66666666666666)
(57.73502691896259, -33.33333333333333)
(51.96152422706633, -29.999999999999993)
(46.188021535170066, -26.66666666666666)
(40.41451884327381, -23.33333333333333)
(34.641016151377556, -19.999999999999996)
(28.867513459481295, -16.666666666666664)
(23.094010767585033, -13.333333333333329)
(17.320508075688778, -9.999999999999993)
(11.547005383792524, -6.666666666666664)
(5.773502691896255, -3.3333333333333286)
(0.0, 0.0)
(-5.773502691896255, 3.3333333333333357)
(-11.54700538379251, 6.666666666666671)
(-17.320508075688764, 10.0)
(-23.094010767585033, 13.333333333333336)
(-28.867513459481287, 16.666666666666664)
(-34.64101615137754, 20.000000000000007)
(-40.41451884327381, 23.333333333333336)
(-46.188021535170066, 26.666666666666664)
(-51.96152422706632, 30.000000000000007)
(-57.735026918962575, 33.333333333333336)
(-63.50852961085883, 36.666666666666664)
(-69.28203230275508, 39.99999999999999)
(-75.05553499465137, 43.333333333333336)
(-80.82903768654762, 46.666666666666664)
(-86.60254037844388, 49.99999999999999)
