WaferDiameter:300
DieSize:(10,10)
DieShiftVector:(5,5)
ReferenceDie:(0,40)
DieStreetWidthAndHeight:(0,0)
RecticleStreetWidthAndHeight:(0,0)
DiesPerReticle:1x1
CircularExclusionZone:2
GripperWidthAndHeight:(5,12)
GripperAngle:50,130,230,310
WaferCoordinates:
(-103.5,106.5)
(-103.5,113.5)
(-96.5,106.5)
(-96.5,113.5)
(-102.5,107.5)
(-102.5,112.5)
(-97.5,107.5)
(-97.5,112.5)
(-96,110)
(-104,110)
(86.5,106.5)
(86.5,113.5)
(93.5,106.5)
(93.5,113.5)
(87.5,107.5)
(87.5,112.5)
(92.5,107.5)
(92.5,112.5)
(94,110)
(86,110)
(96.5,106.5)
(96.5,113.5)
(103.5,106.5)
(103.5,113.5)
(97.5,107.5)
(97.5,112.5)
(102.5,107.5)
(102.5,112.5)
(104,110)
(96,110)
(-3.5,36.5)
(-3.5,43.5)
(3.5,36.5)
(3.5,43.5)
(-2.5,37.5)
(-2.5,42.5)
(2.5,37.5)
(2.5,42.5)
(4,40)
(-4,40)
(-3.5,-3.5)
(-3.5,3.5)
(3.5,-3.5)
(3.5,3.5)
(-2.5,-2.5)
(-2.5,2.5)
(2.5,-2.5)
(2.5,2.5)
(4,0)
(-4,0)
(-103.5,-113.5)
(-103.5,-106.5)
(-96.5,-113.5)
(-96.5,-106.5)
(-102.5,-112.5)
(-102.5,-107.5)
(-97.5,-112.5)
(-97.5,-107.5)
(-96,-110)
(-104,-110)
(-93.5,-113.5)
(-93.5,-106.5)
(-86.5,-113.5)
(-86.5,-106.5)
(-92.5,-112.5)
(-92.5,-107.5)
(-87.5,-112.5)
(-87.5,-107.5)
(-86,-110)
(-94,-110)
(86.5,-113.5)
(86.5,-106.5)
(93.5,-113.5)
(93.5,-106.5)
(87.5,-112.5)
(87.5,-107.5)
(92.5,-112.5)
(92.5,-107.5)
(94,-110)
(86,-110)
(96.5,-113.5)
(96.5,-106.5)
(103.5,-113.5)
(103.5,-106.5)
(97.5,-112.5)
(97.5,-107.5)
(102.5,-112.5)
(102.5,-107.5)
(104,-110)
(96,-110)
(86.5,-123.5)
(86.5,-116.5)
(93.5,-123.5)
(93.5,-116.5)
(87.5,-122.5)
(87.5,-117.5)
(92.5,-122.5)
(92.5,-117.5)
(94,-120)
(86,-120)
(86.5,116.5)
(86.5,123.5)
(93.5,116.5)
(93.5,123.5)
(87.5,117.5)
(87.5,122.5)
(92.5,117.5)
(92.5,122.5)
(94,120)
(86,120)
(-93.5,106.5)
(-93.5,113.5)
(-86.5,106.5)
(-86.5,113.5)
(-92.5,107.5)
(-92.5,112.5)
(-87.5,107.5)
(-87.5,112.5)
(-86,110)
(-94,110)
(-93.5,116.5)
(-93.5,123.5)
(-86.5,116.5)
(-86.5,123.5)
(-92.5,117.5)
(-92.5,122.5)
(-87.5,117.5)
(-87.5,122.5)
(-86,120)
(-94,120)
(-93.5,-123.5)
(-93.5,-116.5)
(-86.5,-123.5)
(-86.5,-116.5)
(-92.5,-122.5)
(-92.5,-117.5)
(-87.5,-122.5)
(-87.5,-117.5)
(-86,-120)
(-94,-120)
(-13.5,-153.5)
(-13.5,-146.5)
(-6.5,-153.5)
(-6.5,-146.5)
(-12.5,-152.5)
(-12.5,-147.5)
(-7.5,-152.5)
(-7.5,-147.5)
(-6,-150)
(-14,-150)
(6.5,-153.5)
(6.5,-146.5)
(13.5,-153.5)
(13.5,-146.5)
(7.5,-152.5)
(7.5,-147.5)
(12.5,-152.5)
(12.5,-147.5)
(14,-150)
(6,-150)
(146.5,36.5)
(146.5,43.5)
(153.5,36.5)
(153.5,43.5)
(147.5,37.5)
(147.5,42.5)
(152.5,37.5)
(152.5,42.5)
(154,40)
(146,40)
(-153.5,-33.5)
(-153.5,-26.5)
(-146.5,-33.5)
(-146.5,-26.5)
(-152.5,-32.5)
(-152.5,-27.5)
(-147.5,-32.5)
(-147.5,-27.5)
(-146,-30)
(-154,-30)
(-3.5,146.5)
(-3.5,153.5)
(3.5,146.5)
(3.5,153.5)
(-2.5,147.5)
(-2.5,152.5)
(2.5,147.5)
(2.5,152.5)
(4,150)
(-4,150)
